Suburb,Rooms,Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea
Airport West,3,t,840000,13.5,3,2,1,303,225,2016,Moonee Valley City Council
Airport West,3,h,730000,13.5,3,2,1,0,145,1965,Moonee Valley City Council
Airport West,3,h,770000,13.5,3,2,1,0,145,1965,Moonee Valley City Council
Airport West,2,h,603000,13.5,2,1,1,272,84,1950,Moonee Valley City Council
Airport West,3,t,700000,13.5,3,2,2,239,134,2009,Moonee Valley City Council
Airport West,3,h,600000,13.5,2,1,1,290,116,1980,Moonee Valley City Council
Airport West,2,u,500000,13.5,2,1,1,168,86,2011,Moonee Valley City Council
Airport West,6,h,725000,13.5,6,3,2,976,186,1980,Moonee Valley City Council
Airport West,2,t,450000,13.5,2,1,1,110,90,2015,Moonee Valley City Council
Airport West,2,u,515000,13.5,2,1,1,141,73,2013,Moonee Valley City Council
Airport West,2,u,530000,13.5,2,1,1,120,94,2012,Moonee Valley City Council
Airport West,3,h,895000,13.5,3,1,6,1063,133,1975,Moonee Valley City Council
Airport West,3,h,805000,13.5,3,1,1,0,105,1950,Moonee Valley City Council
Airport West,3,u,752000,13.5,3,1,1,265,130,1993,Moonee Valley City Council
Airport West,3,t,700000,13.5,3,2,2,165,133,2009,Moonee Valley City Council
Airport West,3,h,830000,13.5,3,1,2,971,113,1960,Moonee Valley City Council
Airport West,2,h,675000,13.5,2,1,1,612,100,1975,Moonee Valley City Council
Airport West,3,h,1042000,13.5,3,2,5,612,174,1950,Moonee Valley City Council
Airport West,4,h,773000,13.5,5,3,4,531,309,1980,Moonee Valley City Council
Airport West,3,h,810000,13.5,3,3,2,555,192,1980,Moonee Valley City Council
Airport West,3,h,715000,13.5,3,2,2,422,126,1995,Moonee Valley City Council
Airport West,3,t,540000,13.5,2,2,1,161,101,2010,Moonee Valley City Council
Airport West,3,t,825000,13.5,3,2,1,293,102,1960,Moonee Valley City Council
Airport West,3,h,685000,13.5,3,1,1,579,113,1975,Moonee Valley City Council
Airport West,4,h,900000,13.5,4,2,3,628,146,1975,Moonee Valley City Council
Albert Park,2,h,1275000,3.3,2,1,0,120,82,1900,Port Phillip City Council
Albert Park,3,h,2850000,3.3,3,2,0,211,198,1890,Port Phillip City Council
Albert Park,3,h,1850000,3.3,3,2,0,128,133,1890,Port Phillip City Council
Albert Park,2,h,1436000,3.3,2,1,0,130,81,1900,Port Phillip City Council
Albert Park,4,h,2300000,3.3,4,2,1,153,180,1880,Port Phillip City Council
Albert Park,3,h,1800000,3.3,3,2,1,132,159,1996,Port Phillip City Council
Albert Park,2,h,2120000,3.3,2,1,1,199,107,1900,Port Phillip City Council
Albert Park,3,h,1800000,3.3,3,2,1,90,122,1900,Port Phillip City Council
Albert Park,3,h,2615000,3.3,3,2,1,177,181,1880,Port Phillip City Council
Albert Park,3,h,1370000,3.3,3,2,2,0,85,2000,Port Phillip City Council
Albert Park,2,h,1322500,3.3,2,1,0,149,98,1890,Port Phillip City Council
Albert Park,2,h,1562500,3.3,2,1,0,141,83,1890,Port Phillip City Council
Albert Park,3,h,2000000,3.3,3,2,1,211,147,1900,Port Phillip City Council
Albert Park,3,h,3010000,3.3,3,2,0,147,146,1890,Port Phillip City Council
Albert Park,4,h,2800000,3.3,4,3,1,327,254,1910,Port Phillip City Council
Albert Park,3,h,2100000,3.3,2,1,1,120,123,1900,Port Phillip City Council
Albert Park,3,h,2000000,3.3,3,1,1,238,131,1890,Port Phillip City Council
Albert Park,1,u,442500,3.3,1,1,0,0,34,1970,Port Phillip City Council
Albert Park,4,h,4735000,3.3,4,2,1,330,207,1910,Port Phillip City Council
Albert Park,4,h,2140000,3.3,3,2,1,183,145,1880,Port Phillip City Council
Albert Park,2,h,980000,3.3,2,1,0,79,68,1890,Port Phillip City Council
Albert Park,3,h,1740000,3.3,3,2,2,147,134,1890,Port Phillip City Council
Albert Park,1,h,985000,3.3,1,1,0,81,54,1900,Port Phillip City Council
Alphington,4,h,2000000,6.4,3,2,4,853,263,1930,Darebin City Council
Alphington,4,h,1717500,6.4,4,2,1,599,203,1925,Darebin City Council
Alphington,5,h,2840000,6.4,5,4,4,809,165,1910,Darebin City Council
Alphington,2,u,525500,6.4,2,1,1,88,60,1960,Darebin City Council
Alphington,2,t,805000,6.4,2,2,3,155,140,2004,Darebin City Council
Alphington,4,h,1830000,6.4,4,2,2,606,112,1970,Darebin City Council
Alphington,4,h,2100000,6.4,4,2,2,575,271,2008,Darebin City Council
Alphington,3,h,865000,6.4,3,1,1,180,131,2010,Darebin City Council
Alphington,2,u,390000,6.4,2,1,1,0,60,1960,Darebin City Council
Alphington,2,u,512000,6.4,2,1,1,0,61,1965,Darebin City Council
Alphington,4,h,1900000,6.4,4,2,2,556,272,1930,Darebin City Council
Alphington,4,h,1950000,6.4,4,2,3,589,210,1920,Darebin City Council
Altona,3,h,520000,13.8,3,2,1,352,242,2015,Hobsons Bay City Council
Altona,5,h,1525000,13.8,5,3,3,729,268,2005,Hobsons Bay City Council
Altona,2,t,720000,13.8,2,1,2,292,125,2013,Hobsons Bay City Council
Altona,3,h,1120000,13.8,3,1,2,506,120,1930,Hobsons Bay City Council
Altona,4,h,1780000,13.8,4,3,6,1057,220,1962,Hobsons Bay City Council
Altona,3,u,630000,13.8,2,1,2,311,94,1955,Hobsons Bay City Council
Altona,3,h,660000,13.8,3,1,1,602,123,1955,Hobsons Bay City Council
Altona,2,u,580000,13.8,2,1,1,225,93,1988,Hobsons Bay City Council
Altona,3,h,1335000,13.8,3,1,4,777,22,1953,Hobsons Bay City Council
Altona,2,u,510000,13.8,2,1,1,127,76,1990,Hobsons Bay City Council
Altona,2,u,425000,13.8,2,1,2,115,57,1980,Hobsons Bay City Council
Altona,2,u,391000,13.8,2,1,1,0,65,1965,Hobsons Bay City Council
Altona,4,h,845000,13.8,4,1,2,745,130,1950,Hobsons Bay City Council
Altona,3,u,730000,13.8,3,2,1,69,141,2014,Hobsons Bay City Council
Altona,2,u,447000,13.8,2,1,1,137,77,1990,Hobsons Bay City Council
Altona,3,h,678000,13.8,3,1,2,606,87,1950,Hobsons Bay City Council
Altona,2,u,580000,13.8,2,2,1,175,76,2013,Hobsons Bay City Council
Altona,3,h,840000,13.8,3,2,2,534,136,1965,Hobsons Bay City Council
Altona,3,u,577000,13.8,3,2,1,205,113,2007,Hobsons Bay City Council
Altona,2,h,857000,13.8,2,2,1,675,100,1950,Hobsons Bay City Council
Altona,3,u,730000,13.8,3,2,1,70,3,2014,Hobsons Bay City Council
Altona,2,h,535600,13.8,2,1,1,154,91,1996,Hobsons Bay City Council
Altona North,5,h,1085000,11.1,5,3,6,592,251,1965,Hobsons Bay City Council
Altona North,3,h,781000,11.1,3,1,2,533,117,1970,Hobsons Bay City Council
Altona North,2,t,421000,11.1,2,1,1,77,77,2009,Hobsons Bay City Council
Altona North,3,h,683000,11.1,3,1,2,534,167,1967,Hobsons Bay City Council
Altona North,3,h,720000,11.1,3,2,1,0,130,2012,Hobsons Bay City Council
Altona North,3,h,588000,11.1,3,1,1,328,118,1970,Hobsons Bay City Council
Altona North,3,h,710000,11.1,3,1,3,540,116,1960,Hobsons Bay City Council
Altona North,4,h,875000,11.1,3,1,4,559,169,1965,Hobsons Bay City Council
Altona North,3,h,675000,11.1,3,2,2,171,109,2012,Hobsons Bay City Council
Altona North,3,h,708000,11.1,3,1,2,585,97,1960,Hobsons Bay City Council
Altona North,4,h,693000,11.1,4,2,4,315,170,2008,Hobsons Bay City Council
Altona North,3,h,620000,11.1,5,2,2,276,100,2010,Hobsons Bay City Council
Altona North,3,h,728500,11.1,3,1,1,531,157,1960,Hobsons Bay City Council
Altona North,3,h,931000,11.1,3,2,1,590,160,1950,Hobsons Bay City Council
Altona North,3,h,815000,11.1,3,2,3,555,130,1960,Hobsons Bay City Council
Altona North,4,h,1200000,11.1,4,1,4,633,158,1960,Hobsons Bay City Council
Altona North,2,u,292000,11.1,2,1,1,153,70,1970,Hobsons Bay City Council
Armadale,2,u,599000,6.3,2,1,1,0,76,1964,Stonnington City Council
Armadale,3,u,995000,6.3,3,2,2,0,100,1998,Stonnington City Council
Armadale,3,t,1205000,6.3,3,2,2,101,105,2000,Stonnington City Council
Armadale,3,h,1939000,6.3,3,2,2,296,150,1889,Stonnington City Council
Armadale,3,h,1870000,6.3,3,1,1,217,116,1888,Stonnington City Council
Armadale,3,t,1918000,6.3,3,2,2,0,165,1995,Stonnington City Council
Armadale,3,h,2050000,6.3,3,2,1,205,116,1910,Stonnington City Council
Armadale,3,u,735000,6.3,3,2,1,2113,14,1970,Stonnington City Council
Armadale,1,h,1435000,6.3,2,2,1,144,107,1900,Stonnington City Council
Armadale,1,u,280000,6.3,1,1,1,0,38,1975,Stonnington City Council
Armadale,2,u,592500,6.3,2,1,1,0,73,1970,Stonnington City Council
Armadale,2,h,1210000,6.3,2,1,0,249,96,1910,Stonnington City Council
Armadale,4,h,2801000,6.3,4,2,2,624,222,1900,Stonnington City Council
Armadale,3,h,1800000,6.3,3,2,2,405,121,1910,Stonnington City Council
Armadale,4,h,2200000,6.3,4,1,2,495,163,1900,Stonnington City Council
Armadale,6,h,5525000,6.3,5,3,4,1491,516,1935,Stonnington City Council
Armadale,1,u,440000,6.3,1,1,1,0,53,1970,Stonnington City Council
Armadale,3,h,1300000,6.3,2,1,2,212,106,1900,Stonnington City Council
Armadale,2,u,704000,6.3,2,1,1,0,74,1969,Stonnington City Council
Armadale,2,u,620000,6.3,3,1,1,0,98,1970,Stonnington City Council
Armadale,3,h,1900000,6.3,3,1,2,328,108,1900,Stonnington City Council
Armadale,2,u,710000,6.3,2,1,1,2471,80,1970,Stonnington City Council
Armadale,2,u,598000,6.3,2,1,1,0,88,1970,Stonnington City Council
Armadale,3,h,1285000,6.3,3,1,2,186,80,1920,Stonnington City Council
Armadale,2,u,520000,6.3,1,1,1,0,76,1970,Stonnington City Council
Armadale,4,h,3625000,6.3,4,1,2,709,251,1900,Stonnington City Council
Armadale,4,h,4200000,6.3,4,3,3,563,333,2000,Stonnington City Council
Armadale,3,t,1101000,6.3,3,1,2,103,3,2000,Stonnington City Council
Armadale,3,h,3512500,6.3,3,2,2,617,285,1998,Stonnington City Council
Armadale,3,u,869000,6.3,2,1,1,0,91,1940,Stonnington City Council
Armadale,1,u,567000,6.3,1,1,1,0,53,2013,Stonnington City Council
Ascot Vale,3,h,940000,5.9,3,1,2,298,108,1920,Moonee Valley City Council
Ascot Vale,2,u,467000,5.9,2,1,1,0,62,1980,Moonee Valley City Council
Ascot Vale,3,h,1380000,5.9,3,2,2,277,174,1910,Moonee Valley City Council
Ascot Vale,2,u,490000,5.9,2,1,1,423,62,1970,Moonee Valley City Council
Ascot Vale,4,h,1850000,5.9,4,3,1,478,270,1900,Moonee Valley City Council
Ascot Vale,3,h,971000,5.9,3,2,2,285,128,1900,Moonee Valley City Council
Ascot Vale,2,h,710000,5.9,2,1,1,214,77,1890,Moonee Valley City Council
Ascot Vale,6,h,2425000,5.9,6,3,2,1014,435,1887,Moonee Valley City Council
Ascot Vale,2,h,750000,5.9,2,1,1,226,92,1920,Moonee Valley City Council
Ascot Vale,2,h,1053000,5.9,2,1,1,269,109,1900,Moonee Valley City Council
Ascot Vale,3,h,1377000,5.9,3,1,1,417,168,1900,Moonee Valley City Council
Ascot Vale,3,h,970000,5.9,3,1,2,350,125,1904,Moonee Valley City Council
Ascot Vale,2,h,751000,5.9,2,1,1,118,79,1890,Moonee Valley City Council
Ascot Vale,2,h,950000,5.9,2,1,1,173,102,1900,Moonee Valley City Council
Ascot Vale,2,u,685000,5.9,2,1,2,228,90,1995,Moonee Valley City Council
Ascot Vale,3,h,1230000,5.9,4,1,2,594,148,1960,Moonee Valley City Council
Ascot Vale,2,h,770000,5.9,2,1,1,226,87,1900,Moonee Valley City Council
Ascot Vale,4,h,890000,5.9,4,1,1,300,185,1890,Moonee Valley City Council
Ascot Vale,3,h,1440000,5.9,3,1,1,487,131,1900,Moonee Valley City Council
Ascot Vale,3,h,1000000,5.9,3,2,2,440,120,1955,Moonee Valley City Council
Ascot Vale,3,h,1435000,5.9,3,2,2,532,147,1950,Moonee Valley City Council
Ascot Vale,1,u,390000,5.9,1,1,1,0,58,1972,Moonee Valley City Council
Ascot Vale,3,h,1425000,5.9,3,2,2,495,139,1920,Moonee Valley City Council
Ascot Vale,4,h,1340000,5.9,3,2,2,683,232,1978,Moonee Valley City Council
Ascot Vale,3,h,955000,5.9,3,1,1,263,117,1910,Moonee Valley City Council
Ascot Vale,4,h,1100000,5.9,4,2,5,559,195,1920,Moonee Valley City Council
Ascot Vale,2,u,432000,5.9,2,1,1,0,62,1978,Moonee Valley City Council
Ascot Vale,4,h,1640000,5.9,4,3,2,562,204,1890,Moonee Valley City Council
Ascot Vale,6,h,1430000,5.9,4,2,1,461,286,1900,Moonee Valley City Council
Ascot Vale,2,u,610000,5.9,2,1,1,301,104,1995,Moonee Valley City Council
Ascot Vale,3,h,940000,5.9,3,3,1,491,127,1950,Moonee Valley City Council
Ascot Vale,3,h,890000,5.9,3,1,1,242,110,1920,Moonee Valley City Council
Ascot Vale,3,h,1180000,5.9,3,2,2,617,149,1930,Moonee Valley City Council
Ascot Vale,4,h,1480000,5.9,4,2,2,597,180,1939,Moonee Valley City Council
Ascot Vale,2,t,865000,5.9,2,2,1,146,132,2015,Moonee Valley City Council
Ascot Vale,2,u,442000,5.9,2,1,1,0,62,1975,Moonee Valley City Council
Ascot Vale,3,h,1037500,5.9,3,1,2,506,110,1920,Moonee Valley City Council
Ascot Vale,3,t,1050000,5.9,3,2,2,318,160,2013,Moonee Valley City Council
Ascot Vale,2,u,440000,5.9,2,1,1,0,65,1970,Moonee Valley City Council
Ascot Vale,4,h,1430000,5.9,4,2,0,418,158,1900,Moonee Valley City Council
Ascot Vale,3,h,1130000,5.9,3,2,1,272,157,1900,Moonee Valley City Council
Ascot Vale,3,h,1135000,5.9,3,1,1,296,104,1910,Moonee Valley City Council
Ascot Vale,4,h,950000,5.9,4,2,1,298,147,1920,Moonee Valley City Council
Ascot Vale,2,u,390000,5.9,2,1,1,1957,69,2012,Moonee Valley City Council
Ascot Vale,4,h,1345000,5.9,4,1,1,552,155,1920,Moonee Valley City Council
Ascot Vale,3,h,1381500,5.9,3,2,2,416,168,1900,Moonee Valley City Council
Ascot Vale,3,h,940000,5.9,3,2,2,285,172,2011,Moonee Valley City Council
Ascot Vale,3,h,995000,5.9,3,2,1,314,177,2010,Moonee Valley City Council
Ascot Vale,3,h,786000,5.9,3,2,1,576,120,1940,Moonee Valley City Council
Ascot Vale,2,h,705000,5.9,2,1,3,252,108,1910,Moonee Valley City Council
Ascot Vale,2,h,760000,5.9,2,1,1,124,77,1900,Moonee Valley City Council
Ascot Vale,3,t,1000000,5.9,3,2,2,200,144,2003,Moonee Valley City Council
Ascot Vale,3,h,1305000,5.9,2,1,1,278,166,1900,Moonee Valley City Council
Ascot Vale,3,h,1215000,5.9,3,1,1,452,175,1960,Moonee Valley City Council
Ascot Vale,2,u,545000,5.9,2,1,2,194,71,1900,Moonee Valley City Council
Ascot Vale,4,h,1705000,5.9,4,2,4,598,273,2012,Moonee Valley City Council
Ashburton,4,h,2650000,11,4,3,2,753,399,2015,Boroondara City Council
Ashburton,3,h,1670000,11,3,2,2,599,220,1930,Boroondara City Council
Ashburton,3,t,2050000,11,3,3,4,310,315,2014,Boroondara City Council
Ashburton,3,h,1555000,11,3,2,2,731,149,1935,Boroondara City Council
Ashburton,3,h,1100000,11,3,3,2,276,178,2004,Boroondara City Council
Ashburton,3,h,1337000,11,3,1,2,583,112,1950,Boroondara City Council
Ashburton,8,h,2950000,11,9,7,4,1472,618,2009,Boroondara City Council
Ashburton,3,h,1518000,11,3,2,2,516,145,1920,Boroondara City Council
Ashburton,3,h,1710000,11,3,1,2,806,101,1950,Boroondara City Council
Ashburton,3,h,1655000,11,3,1,3,780,152,1940,Boroondara City Council
Ashburton,4,h,1550000,11,4,2,2,780,180,1938,Boroondara City Council
Ashburton,3,h,1662000,11,3,2,2,351,228,2006,Boroondara City Council
Ashburton,3,h,1665000,11,3,2,3,702,145,1945,Boroondara City Council
Ashburton,5,h,3510000,11,5,5,2,755,444,2015,Boroondara City Council
Ashburton,3,t,900000,11,3,2,2,153,110,1990,Boroondara City Council
Ashburton,5,h,2752000,11,6,4,2,1075,390,2010,Boroondara City Council
Ashburton,3,h,1500000,11,3,2,2,710,139,1945,Boroondara City Council
Ashburton,4,h,1800000,11,4,2,4,749,206,1950,Boroondara City Council
Ashburton,3,h,1830000,11,3,2,3,724,168,1940,Boroondara City Council
Ashburton,3,h,1415000,11,3,1,1,605,111,1950,Boroondara City Council
Ashburton,2,h,1440000,11,2,1,1,687,104,1940,Boroondara City Council
Ashburton,4,t,1250000,11,4,2,2,321,199,2007,Boroondara City Council
Ashburton,5,h,1600000,11,5,3,4,700,266,1950,Boroondara City Council
Ashburton,4,h,1860000,11,4,2,3,696,274,2000,Boroondara City Council
Ashburton,4,h,1790000,11,4,2,2,514,240,1935,Boroondara City Council
Ashburton,4,h,1950000,11,4,2,2,844,278,1940,Boroondara City Council
Ashburton,3,h,1650000,11,3,1,1,697,164,1947,Boroondara City Council
Ashwood,4,h,1200000,12.2,4,3,2,372,201,2016,Monash City Council
Ashwood,2,h,1075000,12.2,2,1,2,695,114,1950,Monash City Council
Ashwood,4,h,1500000,12.2,2,2,2,621,203,2000,Monash City Council
Ashwood,2,t,700000,12.2,2,1,2,367,110,1970,Monash City Council
Ashwood,3,h,761000,12.2,3,2,4,400,94,1950,Monash City Council
Ashwood,3,h,1365000,12.2,3,1,1,792,792,1950,Monash City Council
Ashwood,4,h,1100000,12.2,3,2,2,803,152,1970,Monash City Council
Ashwood,2,u,690000,12.2,2,1,1,216,90,2003,Monash City Council
Ashwood,3,h,1631000,12.2,3,2,3,782,215,1950,Monash City Council
Ashwood,4,h,1500000,12.2,4,2,1,593,255,1930,Monash City Council
Ashwood,5,h,1529500,12.2,5,3,2,585,317,2000,Monash City Council
Ashwood,2,u,600000,12.2,2,1,1,153,80,1970,Monash City Council
Ashwood,4,h,1240000,12.2,4,2,2,766,192,1950,Monash City Council
Ashwood,2,u,700000,12.2,2,1,2,192,88,2007,Monash City Council
Ashwood,2,h,1110000,12.2,2,1,1,586,86,1950,Monash City Council
Ashwood,3,h,1305000,12.2,3,1,1,760,120,1960,Monash City Council
Ashwood,3,h,855000,12.2,3,2,1,320,85,1958,Monash City Council
Ashwood,3,t,900500,12.2,3,2,2,256,134,2012,Monash City Council
Ashwood,3,h,1200000,12.2,3,2,2,839,198,1970,Monash City Council
Ashwood,3,t,830000,12.2,2,1,2,212,130,2012,Monash City Council
Avondale Heights,3,h,850000,10.5,3,1,1,593,118,1970,Moonee Valley City Council
Avondale Heights,3,h,750000,10.5,3,1,1,0,103,1980,Moonee Valley City Council
Avondale Heights,3,t,851000,10.5,3,3,1,557,181,2017,Moonee Valley City Council
Avondale Heights,4,h,1155000,10.5,3,2,2,569,225,2008,Moonee Valley City Council
Avondale Heights,3,h,680000,10.5,3,1,2,570,120,1970,Moonee Valley City Council
Avondale Heights,3,h,627500,10.5,3,1,1,550,143,1970,Moonee Valley City Council
Avondale Heights,4,h,950000,10.5,4,3,3,761,281,1970,Moonee Valley City Council
Avondale Heights,3,h,705000,10.5,3,1,1,581,106,1960,Moonee Valley City Council
Avondale Heights,4,h,1100000,10.5,4,3,2,873,395,1992,Moonee Valley City Council
Avondale Heights,3,h,892500,10.5,3,1,1,586,118,1965,Moonee Valley City Council
Avondale Heights,2,h,522500,10.5,2,1,1,220,101,1995,Moonee Valley City Council
Avondale Heights,4,h,680000,10.5,4,2,2,554,140,1960,Moonee Valley City Council
Avondale Heights,3,h,875000,10.5,3,1,3,812,117,1960,Moonee Valley City Council
Avondale Heights,4,h,762000,10.5,4,2,2,589,150,1961,Moonee Valley City Council
Avondale Heights,2,u,411000,10.5,2,1,1,0,85,1995,Moonee Valley City Council
Avondale Heights,3,h,805000,10.5,3,2,2,593,103,1970,Moonee Valley City Council
Avondale Heights,3,h,634000,10.5,4,2,1,582,153,1950,Moonee Valley City Council
Balaclava,4,h,1819000,6.6,3,2,1,244,180,1900,Port Phillip City Council
Balaclava,2,u,410000,6.6,2,1,2,0,61,1965,Port Phillip City Council
Balaclava,2,t,1015000,6.6,2,1,2,114,120,2000,Port Phillip City Council
Balaclava,2,u,502500,6.6,2,1,1,0,65,1960,Port Phillip City Council
Balaclava,2,u,520000,6.6,2,1,0,0,58,1970,Port Phillip City Council
Balaclava,2,u,442000,6.6,2,1,1,0,61,1960,Port Phillip City Council
Balaclava,3,h,1193000,6.6,3,1,1,178,100,1920,Port Phillip City Council
Balaclava,2,u,416000,6.6,2,1,1,0,49,1960,Port Phillip City Council
Balaclava,2,u,474000,6.6,2,1,1,0,59,1970,Port Phillip City Council
Balaclava,2,h,981000,6.6,2,1,0,159,84,1930,Port Phillip City Council
Balaclava,3,h,1690000,6.6,3,2,2,339,159,1890,Port Phillip City Council
Balaclava,2,u,540000,6.6,2,1,1,483,51,1970,Port Phillip City Council
Balwyn,2,h,2100000,9.7,2,1,1,659,123,1920,Boroondara City Council
Balwyn,4,h,1800000,9.7,4,2,2,715,218,1985,Boroondara City Council
Balwyn,2,t,1255000,9.7,2,1,1,208,129,2000,Boroondara City Council
Balwyn,3,u,1070000,9.7,3,2,2,206,112,1998,Boroondara City Council
Balwyn,5,h,2570000,9.7,5,3,2,715,420,2009,Boroondara City Council
Balwyn,4,h,2400000,9.7,4,2,2,744,226,1985,Boroondara City Council
Balwyn,2,u,806000,9.7,2,1,1,122,97,1977,Boroondara City Council
Balwyn,6,h,4000000,9.7,6,4,7,2051,449,1935,Boroondara City Council
Balwyn,5,h,2250000,9.7,5,3,2,600,356,2006,Boroondara City Council
Balwyn,5,h,2800000,9.7,5,3,2,678,349,2001,Boroondara City Council
Balwyn,2,h,1850000,9.7,3,1,1,1015,166,1930,Boroondara City Council
Balwyn,3,h,700000,9.7,3,1,1,188,110,1970,Boroondara City Council
Balwyn,2,h,500000,9.7,2,1,1,0,72,1960,Boroondara City Council
Balwyn,3,h,2125000,9.7,3,2,2,699,252,1985,Boroondara City Council
Balwyn,4,h,1800000,9.7,3,2,2,577,200,1948,Boroondara City Council
Balwyn,2,u,635000,9.7,2,1,1,0,70,2014,Boroondara City Council
Balwyn,2,u,526000,9.7,2,1,1,0,73,1960,Boroondara City Council
Balwyn,3,h,905000,9.7,3,1,2,281,150,1995,Boroondara City Council
Balwyn,4,h,1750000,9.7,4,3,2,453,308,2016,Boroondara City Council
Balwyn,2,t,760000,9.7,2,1,1,121,100,1960,Boroondara City Council
Balwyn,3,t,1367000,9.7,3,2,2,219,164,2003,Boroondara City Council
Balwyn,4,t,1400000,9.7,4,3,2,241,240,2009,Boroondara City Council
Balwyn,4,h,3270000,9.7,4,2,4,935,241,1927,Boroondara City Council
Balwyn,2,u,625000,9.7,2,1,1,115,104,1960,Boroondara City Council
Balwyn,4,h,2730000,9.7,4,3,2,674,336,1997,Boroondara City Council
Balwyn,2,u,460000,9.7,2,1,1,0,79,1950,Boroondara City Council
Balwyn,2,u,1053000,9.7,2,1,2,231,98,1985,Boroondara City Council
Balwyn,3,t,1472000,9.7,3,2,2,306,170,1995,Boroondara City Council
Balwyn,2,u,754000,9.7,2,1,1,87,88,1990,Boroondara City Council
Balwyn,4,h,2188000,9.7,4,2,2,752,253,1981,Boroondara City Council
Balwyn,2,u,755000,9.7,2,1,1,213,92,1980,Boroondara City Council
Balwyn,4,h,3290000,9.7,4,3,2,1007,350,1910,Boroondara City Council
Balwyn,4,h,2410000,9.7,4,2,1,685,207,1940,Boroondara City Council
Balwyn,2,u,650000,9.7,2,1,1,0,150,1960,Boroondara City Council
Balwyn,4,h,2000000,9.7,3,1,2,739,291,1930,Boroondara City Council
Balwyn,4,h,1900000,9.7,4,2,1,665,155,1940,Boroondara City Council
Balwyn,3,h,3401000,9.7,3,2,1,706,166,1930,Boroondara City Council
Balwyn,3,h,1750000,9.7,3,2,3,613,193,1943,Boroondara City Council
Balwyn,5,h,3020000,9.7,5,3,2,715,420,2009,Boroondara City Council
Balwyn,5,h,2450000,9.7,4,2,2,981,260,1960,Boroondara City Council
Balwyn,2,u,730000,9.7,2,1,1,130,80,1960,Boroondara City Council
Balwyn,3,h,1500000,9.7,3,2,2,404,190,2011,Boroondara City Council
Balwyn,4,h,1700000,9.7,3,1,1,672,115,1935,Boroondara City Council
Balwyn North,3,t,1315000,9.2,3,2,2,260,167,2000,Boroondara City Council
Balwyn North,3,h,1500000,9.2,3,2,1,778,154,1950,Boroondara City Council
Balwyn North,4,h,3230000,9.2,4,4,3,1135,275,1960,Boroondara City Council
Balwyn North,4,h,1905000,9.2,4,2,2,647,185,1955,Boroondara City Council
Balwyn North,5,h,3300000,9.2,5,4,2,760,477,2015,Boroondara City Council
Balwyn North,4,h,1900000,9.2,4,2,2,642,215,1955,Boroondara City Council
Balwyn North,3,h,2251000,9.2,3,1,2,888,137,1950,Boroondara City Council
Balwyn North,4,h,2205000,9.2,4,2,2,750,214,1950,Boroondara City Council
Balwyn North,3,h,1265000,9.2,3,2,1,347,160,2011,Boroondara City Council
Balwyn North,4,h,1750000,9.2,4,2,2,673,185,1960,Boroondara City Council
Balwyn North,3,h,1450000,9.2,3,1,2,665,124,1950,Boroondara City Council
Balwyn North,4,h,2614000,9.2,4,2,2,772,150,1955,Boroondara City Council
Balwyn North,4,h,1825000,9.2,4,2,3,736,225,1958,Boroondara City Council
Balwyn North,5,h,3250000,9.2,3,4,2,886,520,2013,Boroondara City Council
